"PERMIT_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"BP2022-0614","2022-07-06 00:00:00","ENV HEALTH NOTES","ELIZABETH CASS","(7/6/2022 1:27:03 PM EC) Action Created(7/6/2022 1:27 PM EC) Fee billed to BP2022-0608","","EC:2207060127035598","","0","00000000ACA683FA","2896593912","","0"
"BP2022-0628","2022-07-06 00:00:00","GENERAL NOTE","ELIZABETH CASS","(7/6/2022 7:29:49 AM EC) Action Created(7/6/2022 7:29 AM EC) Customer forgot to indicate panel on application. Panel fee was added per Scott's direction.","","EC:2207060729244824","","0","00000000AC9CCB2A","2895956776","","0"
"BP2022-0628","2022-07-06 00:00:00","NOTICE OF FEES DUE","ELIZABETH CASS","(7/6/2022 12:09:25 PM EC) Action Created(7/6/2022 12:09 PM EC) Fees due for panel. Customer must pay for panel or remove it from the plans.","","EC:2207061209255437","","0","00000000ACA1E525","2896291105","","0"
"BP2022-0284","2022-07-18 00:00:00","CALLED APPLICANT","ELIZABETH CASS","(7/18/2022 2:08:06 PM EC) Action Created(7/18/2022 2:08 PM EC) Called to ask about permit status","","EC:2207180208064243","","0","00000000AD3F2206","2906595844","","0"
"BP2022-0284","2022-07-27 00:00:00","EMAILED APPLICANT","ELIZABETH CASS","(7/27/2022 11:23:22 AM EC) Action Created","","EC:2207271123221348","","0","00000000ADAE953E","2913899836","","0"
"BP2021-0848","2022-08-08 00:00:00","GENERAL NOTE","ELIZABETH CASS","(8/8/2022 10:13:42 AM EC) Action Created(8/8/2022 10:13 AM EC) ok to add half TOC fee per Chris","","EC:2208081013422133","","0","00000000AE4A722F","2924114477","","0"
"BP2022-0126","2022-09-07 00:00:00","CALLED APPLICANT","ELIZABETH CASS","(9/7/2022 1:49:44 PM EC) Action Created(9/7/2022 1:49 PM EC) Called applicant to remind him that fees are due and the permit can be issued","","EC:2209070149447682","","0","00000000AFE0E13A","2950750520","","0"
"BP2022-0219","2022-09-07 00:00:00","CALLED APPLICANT","ELIZABETH CASS","(9/7/2022 2:00:16 PM EC) Action Created(9/7/2022 2:01 PM EC)Called applicant to see if they wanted to proceed with the permit","","EC:2209070200167687","","0","00000000AFE0E765","2950752021","","0"
"BP2022-0593","2022-10-05 00:00:00","GENERAL NOTE","ELIZABETH CASS","(10/5/2022 1:24:04 PM EC) Action Created(10/5/2022 1:24 PM EC) Owner is planning on submitting revisions/additional cycles","","EC:2210050124041203","","0","00000000B16071D7","2975887829","","0"
"BP2013-0497","2013-10-02 00:00:00","ASSIGNED PLAN CHECK","ERIN NICKERSON","(10/2/2013 1:40:05 PM EN) Action Created(10/2/2013 1:40 PM EN) CONTACTED EH FOR PLAN-CHECK COMMENTS, PLAN REVIEW FOR BUILDING WAS COMPLETE 9/26.","","EN:1310020140040236","","0","000000000E1D6577","236807541","","0"
"BP2013-0497","2013-10-03 00:00:00","ENV HEALTH NOTES","ERIN NICKERSON","(10/3/2013 1:09:11 PM EN) Action Created(10/3/2013 1:09 PM EN) LAND USE SURVEY FILLED OUT BY APPLICANT VIA PHONE AND UPLOADED. YSAQMD DOESN'T REQUIRE REVIEW, SCOPE OF WORK BELOW THRESHOLD PER J.GILDERSLEEVES.","","EN:1310030109111097","","0","000000000E236C55","237202515","","0"
"BP2013-0497","2013-11-15 00:00:00","COMPLETED PLAN CHECK","ERIN NICKERSON","(11/15/2013 2:29 PM EN) PW BROUGHT TO OUR ATTENTION THIS PC LETTER WAS NOT SENT. FOUND PC LETTER BY L.BUTLER AND EMAILED TO ARCHITECT.","","EN:1311150229375266","","0","000000000F27765A","254235236","","0"
"FE2014-0001","2014-01-06 00:00:00","BUILDING NOTES","ERIN NICKERSON","(1/6/2014 10:28 AM EN) FSA FEES BASED OFF OF WAREHOUSE SQFT RATE PER D.MORRISON","","EN:1401061028061151","2014-01-06 00:00:00","0","00000000100E2BE0","269364038","","0"
"BP2013-0497","2014-01-08 00:00:00","CORRESPONDENCE","ERIN NICKERSON","(1/8/2014 1:18 PM EN) RESPONSE TO PLAN CHECK COMMENTS RECEIVED AND PLACED AT PLAN CHECK COUNTER","","EN:1401080118403881","","0","00000000101E8DD4","270437842","","0"
"FP2014-0003","2014-01-15 00:00:00","BUILDING NOTES","ERIN NICKERSON","(1/15/2014 8:26 AM EN) TRACKING FOR OFFICE BUILDING IMPROVEMENTS ONLY AS OTHER IMPROVEMENTS DONT CONTRIBUTE TO TRACKING.","","EN:1401150826118888","2014-01-15 00:00:00","0","0000000010484BAE","273074927","","0"
"BP2013-0497","2014-01-15 00:00:00","CALLED APPLICANT","ERIN NICKERSON","(1/15/2014 11:45 AM EN) NOTIFIED APPLICANT PERMIT IS READY TO ISSUE, PROVIDED OUTSTANDING BALANCE","","EN:1401151145189509","2014-01-15 00:00:00","0","000000001049800B","273252182","","0"
"FE2014-0029","2014-02-04 00:00:00","BUILDING NOTES","ERIN NICKERSON","(2/4/2014 9:37 AM EN) FSA CREDIT TRANSFER SIGNED BY BOTH PARTIES AND UPLOADED INTO TRAKIT","","EN:1402040937532408","","0","0000000010A7891F","279415069","","0"
"BP2014-0107","2014-02-25 00:00:00","BUILDING NOTES","ERIN NICKERSON","(2/25/2014 7:53 AM EN) APPLICANT TO SUBMIT DEMOLITION PERMIT AFTER 1ST ROUND OF PLAN CHECK(3/25/2014 1:37 PM EN)COMPREHENSIVE PLAN CHECK LETTER EMAILED TO TONY SINGH","","EN:1402250753425153","2014-08-22 00:00:00","0","000000001A3CF4A4","286116860","","0"
"BP2013-0497","2014-03-10 00:00:00","GENERAL NOTE","ERIN NICKERSON","(3/10/2014 9:16 AM EN) Mary Kessler contacted regarding permit status - Yolo County Housing Authority will be picking up permit by end of month. Extended plan check till 5/31/14(6/9/2014 2:09 PM EN)CONTACTED BILL McCANDLESS - OWNER IS PUTTING PROJECT OUT TO RE-BID. GAVE OUTSTANDING FEES AND EXTENDED PLAN CHECK TILL 6/30 IN ORDER FOR YOLO COUNTY HOUSING AUTHORITY TO GET BACK TO ME","","EN:1403100916171577","2014-03-10 00:00:00","0","00000000140B9194","290618529","","0"
"BP2014-0173","2014-04-01 00:00:00","SENT PLANS TO CONSULTANT","ERIN NICKERSON","(4/1/2014 10:03 AM EN) FIRE PLANS SENT TO WOODLAND FIRE FOR REVIEW(4/1/2014 11:12 AM EN)PROVIDED ADDRESSING FORM TO PERMIT TECH A.YEPEZ FOR PROCESSING(4/7/2014 9:00 AM EN)COMPREHENSIVE PLAN CHECK LETTER EMAILED TO APPLICANT","","EN:1404011003236723","","0","000000001209BABB","299736876","","0"
"FP2014-0060","2014-06-02 00:00:00","FISCAL COMMENTS","ERIN NICKERSON","(6/2/2014 11:59 AM EN) FEE COLLECTED ON BP2014-0314","","EN:1406021159063823","","0","0000000013CAAC2E","332049450","","0"
"FE2014-0145","2014-06-25 00:00:00","FISCAL COMMENTS","ERIN NICKERSON","(6/25/2014 9:13 AM EN) CHANGE OF OCCUPANCY FOR 1372 SQFT FROM F-1 (WAREHOUSE) TO B (OFFICE)","","EN:1406250913576121","","0","0000000014DA8A6F","349866605","","0"
"FP2015-0087","2015-11-02 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(11/2/2015 3:07:24 PM GRL) Action Created(11/2/2015 3:07 PM GRL) Received and scanned in approved cd elev cert given to me by Ed and placed in the binder.","","GRL:1511020307239839","2015-11-02 00:00:00","0","000000003562E39C","895669660","","0"
"BP2014-0107","2015-11-19 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(11/19/2015 3:54:26 PM GRL) Action Created(11/19/2015 3:54 PM GRL) Location: ON DESK NEXT TO PROCESSING BIN.                                                                                                            Helped Johnny put together 2 complete sets of plans and documents. NOTE: Special Inspections Form is NOT completed...this needs to be completed before permit issuance per Ed. Form is with the office set and has a post it note saying <Quote>not complete.<Quote> Per Ed, Chris is to figure out fees for BP2014-0107 and BP2014-0188 (Ed said a one point these two permits merged, the canopy, so fees must be figured out. Per Ed, Johnny is to call Mr. Singh and let him know special inspection form is to be completed before permit issuance. Once form is completed and turned in, all proper sign offs are done, permit can be ready to issue. Any questions...see Ed.(11/23/2015 10:42 AM GRL)Per Ed, I called Dustin (contractor) informing him of special inspection form needs to be turned in. Johnny was supposed to call applicant, Mr. Singh, per Ed on Friday 11/20...I don't think he did since there is no note saying he did so. I will now be following up with Dustin regarding special inspection and fire approval.(11/23/2015 11:13 AM GRL)Called Dustin back to follow up with final fees and to let him know permit is ready to issue upon him turning in special inspection form. He said he will be in later today for permit issuance.","","GRL:1511190354264141","2015-11-19 00:00:00","0","000000003654A885","909586327","","0"
"BP2014-0107","2015-11-23 00:00:00","CALLED APPLICANT","GABRIELA LOPEZ","(11/23/2015 10:42:06 AM GRL) Action Created(11/23/2015 10:42 AM GRL) Per Ed, I called Dustin (contractor) informing him of special inspection form needs to be turned in. Johnny was supposed to call applicant, Mr. Singh, per Ed on Friday 11/20...I don't think he did since there is no note saying he did so. I will now be following up with Dustin regarding special inspection and fire approval.(11/23/2015 11:09 AM GRL)Called Dustin back to follow up with final fees and to let him know permit is ready to issue upon him turning in special inspection form. He said he will be in later today for permit issuance.","","GRL:1511231042060059","2015-11-23 00:00:00","0","000000003654A877","911458901","","0"
"BP2014-0107","2015-12-10 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(12/10/2015 2:58:10 PM GRL) Action Created(12/10/2015 2:58 PM GRL) Dustin came in today, notified him to turn in a completed special inspections form.","","GRL:1512100258103044","2015-12-10 00:00:00","0","00000000371C2832","924592176","","0"
"FP2015-0140","2015-12-21 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(12/21/2015 8:37:40 AM GRL) Action Created(12/21/2015 8:37 AM GRL) Substantial improvement form only. Scanned and received today.","","GRL:1512210837409582","2015-12-21 00:00:00","0","00000000378A33F3","931804145","","0"
"FP2015-0141","2015-12-21 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(12/21/2015 9:44:25 AM GRL) Action Created(12/21/2015 9:44 AM GRL) I noticed a FP was not created when brought in on the 18th. Asked Ed to create one since the project (bp2015-0998) is in a floodzone. Unapproved CD elev cert. scanned and attached. Gave Ed both unapproved copies of elev cert for his review.","","GRL:1512210944259631","2015-12-21 00:00:00","0","00000000378B28D5","931866835","","0"
"FP2015-0126","2016-01-04 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(1/4/2016 10:38:10 AM GRL) Action Created(1/4/2016 10:38 AM GRL) Substantial improvements form was on nicole's desk. Ed approved it, uploaded to FP and BP#s.","","GRL:1601041038103505","2016-01-04 00:00:00","0","0000000037FB447D","939213947","","0"
"FP2015-0122","2016-01-04 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(1/4/2016 10:45:44 AM GRL) Action Created(1/4/2016 10:45 AM GRL) Substantial improvements form scanned in both FP and BP#s.","","GRL:1601041045433509","2016-01-04 00:00:00","0","0000000037FB8CB6","939232436","","0"
"FP2016-0011","2016-01-25 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(1/25/2016 3:40:49 PM GRL) Action Created(1/25/2016 3:40 PM GRL) Ed did OTC on substantial improvement form. FP for tracking only.","","GRL:1601250340492969","2016-01-25 00:00:00","0","00000000399BF9EE","966523372","","0"
"FP2016-0010","2016-01-25 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(1/25/2016 7:43:30 AM GRL) Action Created(1/25/2016 7:43 AM GRL) Unapproved FC elev cert given to Ed pending his approval; 2 copies.","","GRL:1601250743301823","2016-01-25 00:00:00","0","000000003993F89C","965998746","","0"
"FP2016-0014","2016-01-28 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(1/28/2016 2:47:23 PM GRL) Action Created(1/28/2016 2:47 PM GRL) Gave Ed 2 copies of UNAPPROVED CD ELEV CERT pending his approval.","","GRL:1601280247233074","2016-01-28 00:00:00","0","0000000039DE2D53","970861903","","0"
"FP2016-0016","2016-02-04 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(2/4/2016 10:54:39 AM GRL) Action Created(2/4/2016 10:54 AM GRL) Gave Ed 2 copies of unapproved cd elev cert pending his approval.","","GRL:1602041054398897","2016-02-04 00:00:00","0","000000003A3C0EDE","977014478","","0"
"FP2016-0021","2016-02-23 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(2/23/2016 4:05:17 PM GRL) Action Created(2/23/2016 4:05 PM GRL) Substantial improvements form only approved by Ed Short OTC.","","GRL:1602230405151640","2016-02-23 00:00:00","0","000000003AF5B28F","989180260","","0"
"FP2016-0016","2016-02-29 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(2/29/2016 8:10:16 AM GRL) Action Created(2/29/2016 8:10 AM GRL) Made 2 copies of the approved cd elev cert. Placed one in our binder the other with the plans.","","GRL:1602290809284894","2016-02-29 00:00:00","0","000000003B25A7DF","992323549","","0"
"FE2016-0172","2016-03-30 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(3/30/2016 1:59:15 PM GRL) Action Created(3/30/2016 1:59 PM GRL) Angelica helped me take this in for addressing request. Placed paperwork on her desk.","","GRL:1603300159157274","2016-03-30 00:00:00","0","000000003C894F98","1015631752","","0"
"FP2016-0038","2016-04-11 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(4/11/2016 2:08:33 PM GRL) Action Created(4/11/2016 2:08 PM GRL) See attachement (substantial improvement form) Ed approved via email  and when applicant came in two weeks ago and spoke to him at the counter.","","GRL:1604110208324674","2016-04-11 00:00:00","0","0000000042A35BBE","1024307271","","0"
"FE2016-0201","2016-04-14 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(4/14/2016 9:03:53 AM GRL) Action Created(4/14/2016 9:03 AM GRL) (4/12/2016 10:57 AM GRL) Called Justin today around 10:30am regarding issuing this permit. 1) He said he will take care of expired permit BP2013-0627 and will be coming in with a check for $130 per Ed on the fee of reinstatment 2) Notified Justin that FSA must be moved to FE permit per Ed and Johnny when they took it in. So no exact fee is given for BP2015-0507. Emailed Johnny and Ed  needing final fee for this permit for issuance at 1pm on Thursday.","","GRL:1604140903526898","2016-04-14 00:00:00","0","000000003D30CB0D","1026607883","","0"
"FP2016-0049","2016-04-29 00:00:00","BUILDING NOTES","GABRIELA LOPEZ","(4/29/2016 11:41:10 AM GRL) Action Created(4/29/2016 11:41 AM GRL) Scanned in UNAPPROVED FC ELEV CERT placed physical copy in Ed's box pending review, emailed Ed electronic copy of cert cc'ed johnny and angelica.","","GRL:1604291141097311","2016-04-29 00:00:00","0","000000003DEF4034","1039084756","","0"
"FE2012-0280","2012-12-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(12/6/2012 9:26:06 AM JC) Action Created(12/6/2012 9:26:06 AM JC) A CREDIT($3498) WAS ISSUED TO FE2012-0280 FROM FEES THAT WERE PAID FOR FE2011-0089 THAT UNPAID DUE TO CANCEL OF THE PERMIT.","","JC:1212060926060429","","0","00000000095A0869","156895335","",""
"FE2013-0065","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:09:16 AM JC) Action Created(3/6/2013 9:09:16 AM JC) PARCEL # 046752002000 FOR THIS FILE FE2013-0065","","JC:1303060909151216","","0","000000000AB83DCA","179846600","",""
"FE2013-0066","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:12:30 AM JC) Action Created(3/6/2013 9:12:30 AM JC) PARCEL # 046752004000 THIS IS FOR NEW FILE FE2013-0066.","","JC:1303060912291230","","0","000000000AB83EC8","179846854","",""
"FE2013-0067","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:14:22 AM JC) Action Created(3/6/2013 9:14:22 AM JC) PARCEL # 046752005, THIS IS FOR NEW FILE FE2013-0067","","JC:1303060914211244","","0","000000000AB83F73","179847025","",""
"FE2013-0068","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:16:02 AM JC) Action Created(3/6/2013 9:16:02 AM JC) PARCEL # 046752006 THIS IS FOR NEW FILE FE2013-0068","","JC:1303060916011261","","0","000000000AB89051","179867691","",""
"FE2013-0069","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:18:16 AM JC) Action Created(3/6/2013 9:18:16 AM JC) PARCEL# 046752007 THIS IS FOR NEW FILE FE2013-0069","","JC:1303060918161277","","0","000000000AB890F4","179867876","",""
"FE2013-0070","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:20:09 AM JC) Action Created(3/6/2013 9:20:09 AM JC) PARCEL# 046751010 THIS IS FOR NEW FILE FE2013-0070","","JC:1303060920091291","","0","000000000AB89188","179868038","",""
"FE2013-0071","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:21:41 AM JC) Action Created(3/6/2013 9:21:41 AM JC) PARCEL# 046751011 THIS IS FOR NEW FILE 2013-0071","","JC:1303060921401305","","0","000000000AB8921E","179868186","",""
"FE2013-0072","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:23:09 AM JC) Action Created(3/6/2013 9:23:09 AM JC) PARCEL# 046709007 THIS IS FOR NEW FILE 2013-0072","","JC:1303060923091319","","0","000000000AB8928D","179868299","",""
"FE2013-0073","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:25:10 AM JC) Action Created(3/6/2013 9:25:10 AM JC) PARCEL# 046709004 THIS IS FOR NEW FILE FE2013-0073","","JC:1303060925101351","","0","000000000AB8CC15","179879928","",""
"FE2013-0074","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:26:47 AM JC) Action Created(3/6/2013 9:26:47 AM JC) PARCEL# 046709003 THIS IS FOR NEW FILE FE2013-0074","","JC:1303060926471365","","0","000000000AB8CC98","179883158","",""
"FE2013-0075","2013-03-06 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/6/2013 9:28:24 AM JC) Action Created(3/6/2013 9:28:24 AM JC) PARCEL# 046709006 THIS IS FOR NEW FILE 2013-0075","","JC:1303060928241379","","0","000000000AB8CD30","179883310","",""
"FE2013-0078","2013-03-12 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(3/12/2013 3:26:52 PM JC) Action Created(3/12/2013 3:26:52 PM JC) PARCEL 046752003, FOR FILE FE-2013-0078","","JC:1303120326515160","","0","000000000AD33DE6","181615952","",""
"FE2013-0145","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 7:40:00 AM JC) Action Created(4/23/2013 7:40 AM JC) PARCEL NO# 046691015000, 2970 APACHE STREET, WEST SACRAMENTO, CA","","JC:1304230739592874","","0","000000000B79CC73","192531569","","0"
"FE2013-0146","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 7:42:20 AM JC) Action Created(4/23/2013 7:42 AM JC) PARCEL NO#046691016000, 2978 APACHE STREET, WEST SACRAMENTO, CA","","JC:1304230742202880","","0","000000000B79CE31","192532015","","0"
"FE2013-0147","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 7:45:19 AM JC) Action Created(4/23/2013 7:45 AM JC) PARCEL NO# 046691019000,3002 APACHE STREET, WEST SACRAMENTO, CA","","JC:1304230745192884","","0","000000000B79CF58","192532310","","0"
"FE2013-0148","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:03:51 AM JC) Action Created(4/23/2013 8:03 AM JC) PARCEL NO# 046709002000, 3018 APACHE STREET, WEST SACRAMENTO, CA","","JC:1304230803512889","","0","000000000B7A0FDB","192548825","","0"
"FE2013-0149","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:05:45 AM JC) Action Created(4/23/2013 8:05 AM JC) PARCEL NO# 046752008000, 1417 HIGHLAND DRIVE, WEST SACRAMENTO","","JC:1304230805452893","","0","000000000B7A404B","192561225","","0"
"FE2013-0150","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:07:21 AM JC) Action Created(4/23/2013 8:07 AM JC) PARCEL NO# 04675200900, 1409 HIGHLAND DRIVE, WEST SACRAMENTO, CA","","JC:1304230807212897","","0","000000000B7A64B1","192570543","","0"
"FE2013-0152","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:10:58 AM JC) Action Created(4/23/2013 8:10 AM JC) PARCEL NO# 046752011000, 1393 HIGHLAND DRIVE , WEST SACRAMENTO, CA","","JC:1304230810582904","","0","000000000B7A95BB","192583097","","0"
"FE2013-0153","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:11:55 AM JC) Action Created(4/23/2013 8:11 AM JC) PARCEL#046751006000, 1394 HIGHLAND DRIVE, WEST SACRAMENTO, CA","","JC:1304230811552908","","0","000000000B7A95E6","192583140","","0"
"FE2013-0154","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:13:37 AM JC) Action Created(4/23/2013 8:13 AM JC) PARCEL NO#046751007000, 1402 HIGHLAND DRIVE, WEST SACRAMENTO, CA","","JC:1304230813362912","","0","000000000B7A9630","192583214","","0"
"FE2013-0155","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:15:20 AM JC) Action Created(4/23/2013 8:15 AM JC) PARCEL NO#046751008000, 1410 HIGHLAND DRIVE, WEST SACRAMENTO, CA","","JC:1304230815202918","","0","000000000B7A97BF","192583613","","0"
"FE2013-0156","2013-04-23 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(4/23/2013 8:16:47 AM JC) Action Created(4/23/2013 8:16 AM JC) PARCEL NO#046751009000, 1418 HIGHLAND DRIVE, WEST SACRAMENTO, CA","","JC:1304230816472922","","0","000000000B7A97FE","192583676","","0"
"FE2013-0342","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:38 AM JC) CREATE FILE FE2013-0342, PARCELL NUMBER 046752015","","JC:1310250838042765","","0","000000000EA4C87A","245680218","","0"
"FE2013-0343","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:41 AM JC) CREATE FE-2013-0343 PARCEL NUMBER 046752016","","JC:1310250841312779","","0","000000000EA4CA0F","245680653","","0"
"FE2013-0344","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:43 AM JC) CREATE FE2013-0344,PARCEL NUMBER 046751001","","JC:1310250843522793","","0","000000000EA4CAC8","245680838","","0"
"FE2013-0345","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:45 AM JC) CREATE FE2013-0345,PARCEL NUMBER 046751002","","JC:1310250845542807","","0","000000000EA4CB68","245680998","","0"
"FE2013-0347","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:50 AM JC) CREATE FE2013-0347,PARCEL NUMBER 046761006","","JC:1310250850472834","","0","000000000EA4CCDE","245681372","","0"
"FE2013-0348","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:52 AM JC) CREATE FE2013-0348, PARCEL NUMBER 046761007","","JC:1310250852342848","","0","000000000EA4CD66","245681508","","0"
"FE2013-0349","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 8:58 AM JC) CREATE FE2013-0349, PARCEL NUMBER 014670012","","JC:1310250858022892","","0","000000000EA4D8C1","245684415","","0"
"FE2013-0350","2013-10-25 00:00:00","FISCAL COMMENTS","JANEEN CASTILLO","(10/25/2013 9:03 AM JC) CREATE FE2013-0350 PARCEL NUMBER 045160032","","JC:1310250903332923","","0","000000000EA4DAB8","245684918","","0"
"BP2022-0806","2022-08-17 00:00:00","GENERAL NOTE","JUAN DE LA CRUZ","(8/17/2022 3:24:55 PM JCL) Action Created(8/17/2022 3:26 PM JCL)Property has a expired permit and site visit need to inspect  if project did not move forward.","","JCL:2208170324552019","2010-12-14 00:00:00","0","00000000AEDB532D","2933609086","","0"
"BP2020-0121","2022-09-21 00:00:00","GENERAL NOTE","JUAN DE LA CRUZ","(9/21/2022 12:49:45 PM JCL) Action Created(9/21/2022 12:49 PM JCL) Experiation date was adjust acording to extesion requested found in attachments. TCO was approved by Chris Rice.","","JCL:2209211249459996","","0","00000000B0A8DF1B","2963857177","","0"
"BP2022-1000","2022-10-20 00:00:00","FISCAL COMMENTS","JUAN DE LA CRUZ","(10/20/2022 2:46:33 PM JCL) Action Created(10/20/2022 2:46 PM JCL) Unpaid check 020860, receipt #94380; accidently wrote the wrong check #.","","JCL:2210200246325649","","0","00000000B267C03C","2993143866","","0"
"BP2022-1197","2022-12-16 00:00:00","FISCAL COMMENTS","JUAN DE LA CRUZ","(12/16/2022 12:13:12 PM JCL) Action Created(12/16/2022 12:13 PM JCL) The check number was typed inccorrectly that's why the permit was unpaid.(12/16/2022 12:14 PM JCL)Receipt 94821 is correct.","","JCL:2212161213129062","","0","00000000B529692B","3039389872","","0"
"BP2013-0497","2014-12-12 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(12/12/2014 8:06:46 AM JGM) Action Created(12/12/2014 8:08 AM JGM)CLLED LFT MSG TO PICK UP PERMIT READY TO ISSUE 530.662.2240 ALSO CLLED #S ON CONTACT LIST.","","JGM:1412120806468594","","0","0000000021261DB5","556145973","","0"
"BP2014-0107","2015-01-29 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(1/29/2015 11:24:50 AM JGM) Action Created(1/29/2015 11:25 AM JGM)RECIEVED FIRE & SCHOOL FORM SIGNATURES(2/2/2015 3:04 PM JGM)NEW FINAL REVIEW LETTER FROM WC3 RECIEVED IN ATTACHMENTS","","JGM:1501291124550713","","0","000000002580DF48","626945277","","0"
"BP2015-0230","2015-04-14 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(4/14/2015 3:03:23 PM JGM) Action Created(4/14/2015 3:03 PM JGM)clled brian permit ready to pick up ready to issue","","JGM:1504140303239470","","0","0000000028D162A3","684810865","","0"
"BP2014-0107","2015-12-01 00:00:00","CALLED APPLICANT","JOHNNY MUNOZ","(12/1/2015 2:38:43 PM JGM) Action Created(12/1/2015 2:38 PM JGM) CLLED TONY SINGH ASKED IF HE HAS BEEN ABLE TO FILL OUT SPECIAL INSPECTION FORM TO ISSUE THIS PERMIT WILL HAVE HIS PARTNER COME IN AND BRING IN FORM FILLED OUT.","","JGM:1512010238435243","","0","0000000036A89745","917005099","","0"
"FE2016-0001","2016-01-08 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(1/8/2016 7:20:50 AM JGM) Action Created","","JGM:1601080720508394","2017-03-07 00:00:00","0","000000004C480F8E","953738229","","0"
"FE2016-0201","2016-04-12 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(4/12/2016 1:24:08 PM JGM) Action Created(4/12/2016 1:24 PM JGM) FEES NOT ADDING UP FOR FSA","","JGM:1604120124075576","2016-04-12 00:00:00","0","000000003D1C4B26","1025264420","","0"
"FP2016-0038","2016-08-05 00:00:00","BUILDING NOTES","JOHNNY MUNOZ","(8/5/2016 3:31:06 PM JGM) Action Created(8/5/2016 3:31 PM JGM) CANCELLED PERMIT 8/5/2016","","JGM:1608050331068313","2016-08-05 00:00:00","0","00000000428D2481","1116546175","","0"
